# Ruta vehiculo 17
326.163,147.934,0
44.3541,371.95,175
22.0698,374.327,150
5.21029,369.299,56
14.6771,389.417,165
3.5777,418.519,22
20.8782,453.052,101
13.3067,490.263,24
26.7578,482.454,47
50.7439,475.079,161
46.0225,442.584,126
44.4213,411.369,140
48.4433,389.833,37
326.163,147.934,0
# Ruta vehiculo 3
326.163,147.934,0
177.504,428.504,62
167.564,425.126,179
154.764,415.82,23
113.145,416.096,69
94.2275,413.53,171
82.3963,438.633,120
122.085,465.915,170
122.452,496.632,79
211.59,492.833,129
199.832,475.657,29
195.158,473.847,81
199.704,468.297,146
326.163,147.934,0
# Ruta vehiculo 0
326.163,147.934,0
250.022,445.371,33
255.893,450.332,159
274.858,451.902,110
286.657,443.682,189
300.106,432.902,174
310.868,437.322,160
321.244,440.956,190
336.923,498.765,40
427.009,466.896,77
480.999,438.445,163
460.561,416.821,1
434.286,423.758,141
326.163,147.934,0
# Ruta vehiculo 1
326.163,147.934,0
54.425,104.982,89
51.6215,77.3948,21
52.629,68.8686,39
8.73431,46.6271,143
2.15589,80.8923,158
7.89613,144.234,64
12.6127,193.906,52
17.5613,258.913,54
21.982,273.866,132
10.3799,336.853,20
65.1015,308.65,136
57.9184,288.377,45
326.163,147.934,0
# Ruta vehiculo 8
326.163,147.934,0
373.359,380.453,199
359.987,403.349,181
343.791,409.947,35
366.125,425.372,191
382.531,425.66,134
388.854,432.703,123
393.35,408.347,66
429.267,384.836,9
457.78,385.451,155
491.739,361.542,88
443.967,364.314,125
418.811,370.11,173
326.163,147.934,0
# Ruta vehiculo 13
326.163,147.934,0
133.908,326.377,133
139.995,339.862,182
141.867,364.251,34
138.338,392.147,50
122.046,368.197,96
91.6244,344.469,122
90.6199,332.531,178
84.1176,327.374,43
120.053,310.111,6
120.258,309.388,48
122.132,277.037,70
124.631,258.392,135
326.163,147.934,0
# Ruta vehiculo 7
326.163,147.934,0
122.565,70.8378,99
90.7633,39.7703,176
88.0398,112.936,193
86.573,129.307,2
86.2094,129.712,131
82.2354,134.446,27
66.761,113.538,95
60.6177,135.407,90
53.3133,142.27,4
41.9504,168.255,142
87.5568,178.292,194
92.719,178.653,5
326.163,147.934,0
# Ruta vehiculo 8
326.163,147.934,0
185.656,267.018,68
185.196,284.887,25
163.383,289.715,149
160.325,259.73,65
137.752,260.923,60
98.1896,248.746,137
71.203,242.076,8
54.9771,215.799,186
80.8185,221.279,51
86.057,225.807,36
129,238.778,104
160.482,210.513,28
326.163,147.934,0
# Ruta vehiculo 6
326.163,147.934,0
316.557,282.49,26
335.812,354.481,30
308.144,378.506,57
311.895,411.755,58
296.062,404.231,102
302.342,396.389,61
289.075,381.154,169
292.904,373.373,44
262.347,371.213,192
267.332,362.462,128
307.128,331.363,71
302.597,300.762,152
326.163,147.934,0
# Ruta vehiculo 15
326.163,147.934,0
465.178,188.456,127
487.728,175.992,72
493.232,147.096,164
484.255,143.646,184
469.083,141.255,78
455.887,124.179,196
467.447,97.366,75
489.739,70.7984,82
486.386,53.1829,32
484.492,46.0518,187
475.043,44.623,145
470.779,30.6467,31
326.163,147.934,0
# Ruta vehiculo 12
326.163,147.934,0
392.189,266.687,92
417.398,268.478,148
433.619,276.478,144
424.405,285.678,98
420.091,313.039,124
430.026,314.834,157
459.939,332.773,130
461.11,299.23,197
480.932,269.659,153
456.225,211.481,93
444.721,215.777,117
439.831,176.92,172
326.163,147.934,0
# Ruta vehiculo 11
326.163,147.934,0
245.81,53.2584,183
230.865,63.8652,103
217.383,77.6237,112
182.659,79.9954,138
147.49,68.6551,114
148.345,68.261,180
152.895,63.1343,83
148.443,44.4091,162
178.298,3.8521,86
268.726,10.2818,74
263.696,52.8289,11
284.747,53.7603,55
326.163,147.934,0
# Ruta vehiculo 4
326.163,147.934,0
221.207,217.764,154
233.911,229.242,84
175.548,249.341,188
191.431,250.789,73
209.44,260.092,18
223.321,263.698,115
216.583,314.09,41
197.388,344.109,16
214.643,354.423,63
204.895,424.115,10
243.323,345.928,38
296.007,237.687,85
326.163,147.934,0
# Ruta vehiculo 7
326.163,147.934,0
242.789,177.629,14
224.704,170.577,80
184.113,159.602,195
153.979,165.499,147
162.375,133.849,111
171.152,142.131,109
218.058,153.295,67
240.285,136.416,7
326.163,147.934,0
# Ruta vehiculo 7
326.163,147.934,0
332.483,108.216,105
340.992,28.0515,19
345.874,24.3779,107
333.263,15.907,59
357.433,0.164367,166
382.836,1.51381,168
396.072,18.5258,119
407.925,21.6123,13
396.684,86.3023,15
411.89,104.433,121
392.397,97.3553,87
358.375,104.191,185
326.163,147.934,0
# Ruta vehiculo 6
326.163,147.934,0
325.602,171.37,106
317.483,187.512,118
328.086,229.489,167
347.529,273.625,100
380.166,340.051,42
400.936,360.862,151
365.767,361.384,17
362.687,350.418,108
313.724,238.557,177
295.692,187.935,53
310.313,165.555,3
326.163,147.934,0
# Ruta vehiculo 12
326.163,147.934,0
364.537,157.345,12
391.412,134.647,76
422.224,137.097,139
393.363,169.675,97
409.46,197.037,116
358.37,189.092,46
251.857,121.605,156
240.208,111.028,91
224.342,91.1797,94
238.332,97.3713,49
244.128,105.562,113
283.054,133.279,198
326.163,147.934,0
